Model Year,Make,Electric Range
2019,TESLA,220.0
2020,TESLA,291.0
2023,HYUNDAI,0.0
2021,BMW,30.0
2023,TOYOTA,42.0
2012,TESLA,265.0
2017,BMW,81.0
2022,BMW,22.0
2018,TESLA,215.0
2018,TESLA,215.0
2014,NISSAN,84.0
2020,TESLA,289.0
2019,KIA,26.0
2021,POLESTAR,233.0
2015,TESLA,208.0
2018,BMW,114.0
2016,NISSAN,84.0
2015,NISSAN,84.0
2022,BMW,30.0
2018,TESLA,215.0
2018,TESLA,215.0
2015,BMW,81.0
2025,MAZDA,26.0
2019,TESLA,220.0
2019,TESLA,220.0
2016,TESLA,210.0
2013,NISSAN,75.0
2017,NISSAN,107.0
2013,NISSAN,75.0
2019,CHEVROLET,238.0
2023,VOLVO,32.0
2018,TESLA,215.0
2019,TESLA,220.0
2023,JEEP,25.0
2015,TESLA,208.0
2021,POLESTAR,233.0
2018,TESLA,215.0
2020,TESLA,293.0
2019,TESLA,220.0
2017,NISSAN,107.0
2023,TESLA,0.0
2018,CHEVROLET,53.0
2024,BMW,39.0
2018,TESLA,215.0
2024,TESLA,0.0
2016,CHEVROLET,82.0
2014,TESLA,208.0
2017,FIAT,84.0
2023,KIA,33.0
2018,CHEVROLET,53.0
2022,TESLA,0.0
2024,LINCOLN,28.0
2020,HYUNDAI,170.0
2019,TESLA,220.0
2022,NISSAN,0.0
2020,TESLA,293.0
2016,KIA,93.0
2024,KIA,0.0
2024,JEEP,21.0
2018,TESLA,215.0
2019,NISSAN,150.0
2015,CHEVROLET,38.0
2018,AUDI,16.0
2024,DODGE,32.0
2023,RIVIAN,0.0
2020,TESLA,293.0
2018,TESLA,215.0
2020,TESLA,291.0
2018,TESLA,215.0
2022,TESLA,0.0
2015,NISSAN,84.0
2020,TESLA,289.0
2018,TESLA,215.0
2015,NISSAN,84.0
2023,NISSAN,0.0
2024,TOYOTA,39.0
2024,TOYOTA,0.0
2023,KIA,0.0
2023,TESLA,0.0
2020,TESLA,291.0
2019,NISSAN,150.0
2025,KIA,30.0
2019,VOLKSWAGEN,125.0
2016,TESLA,210.0
2016,TESLA,210.0
2025,NISSAN,0.0
2024,KIA,33.0
2018,TESLA,238.0
2015,BMW,81.0
2016,BMW,14.0
2018,TESLA,215.0
2024,FORD,37.0
2023,JEEP,21.0
2018,HONDA,47.0
2020,NISSAN,149.0
2019,TESLA,220.0
2021,TESLA,0.0
2024,TESLA,0.0
2018,NISSAN,151.0
2020,TESLA,266.0
2018,AUDI,16.0
2017,BMW,14.0
2019,TESLA,220.0
2024,TOYOTA,42.0
2022,JEEP,22.0
2023,FORD,0.0
2020,TESLA,289.0
2020,TESLA,266.0
2018,TESLA,215.0
2015,NISSAN,84.0
2018,TESLA,238.0
2023,AUDI,0.0
2017,CHEVROLET,238.0
2024,BMW,0.0
2018,TESLA,238.0
2015,FORD,19.0
2016,FORD,19.0
2024,BMW,0.0
2012,NISSAN,73.0
2024,TOYOTA,42.0
2020,CHEVROLET,259.0
2017,CHEVROLET,238.0
2019,TESLA,220.0
2023,TESLA,0.0
2024,AUDI,23.0
2023,TESLA,0.0
2018,TESLA,215.0
2018,BMW,13.0
2018,NISSAN,151.0
2015,NISSAN,84.0
2020,TESLA,308.0
2019,CHEVROLET,238.0
